Day,Class,Period_1 (08:00-09:00),Period_2 (09:00-10:30),Period_3 (11:00-12:00),Period_4 (12:00-13:00),Period_5 (14:00-15:30),Period_6 (15:30-17:00)
Monday,P.4,SST,ENG,MTC,MTC,SCI,SCI
Monday,P.5,ENG,SST,SCI,SCI,MTC,MTC
Monday,P.6,MTC,ENG,SCI,SCI,SST,SST
Monday,P.7,SCI,SST,ENG,ENG,MTC,MTC
Tuesday,P.4,SCI,ENG,MTC,MTC,SST,SST
Tuesday,P.5,MTC,SCI,SST,SST,ENG,ENG
Tuesday,P.6,ENG,MTC,SCI,SCI,SST,SST
Tuesday,P.7,MTC,SST,ENG,ENG,SCI,SCI
Wednesday,P.4,SST,MTC,SCI,SCI,ENG,ENG
Wednesday,P.5,ENG,SCI,MTC,MTC,SST,SST
Wednesday,P.6,MTC,SCI,ENG,ENG,SST,SST
Wednesday,P.7,SCI,SST,MTC,MTC,ENG,ENG
Thursday,P.4,ENG,SST,MTC,MTC,SCI,SCI
Thursday,P.5,SCI,MTC,SST,SST,ENG,ENG
Thursday,P.6,SCI,MTC,ENG,ENG,SST,SST
Thursday,P.7,ENG,SST,SCI,SCI,MTC,MTC
Friday,P.4,ENG,SST,SCI,SCI,MTC,MTC
Friday,P.5,SCI,MTC,ENG,ENG,SST,SST
Friday,P.6,MTC,ENG,SCI,SCI,SST,SST
Friday,P.7,ENG,SST,MTC,MTC,SCI,SCI
Day,Class,Period_1 (08:00-09:30),Period_2 (09:30-10:30),Period_3 (11:00-12:00),Period_4 (12:00-13:00),Period_5 (14:00-15:00),Period_6 (15:00-16:00)
Monday,P.1,LIT,LUG,ENG,READING,MTC,R.E
Monday,P.2,ENG,READING,MTC,R.E,LIT,LUG
Monday,P.3,R.E,MTC,LIT,LUG,ENG,READING
Tuesday,P.1,ENG,READING,MTC,R.E,READING,ENG
Tuesday,P.2,MTC,R.E,READING,ENG,LUG,LIT
Tuesday,P.3,LIT,LUG,ENG,READING,MTC,MTC
Wednesday,P.1,MTC,R.E,LIT,LUG,ENG,READING
Wednesday,P.2,ENG,READING,MTC,R.E,LIT,LUG
Wednesday,P.3,LUG,LIT,ENG,WRITING,MTC,MTC
Thursday,P.1,P.E,READING,R.E,MTC,LUG,LIT
Thursday,P.2,P.E,LIT,LUG,LIT,WRITING,ENG
Thursday,P.3,P.E,R.E,ENG,READING,R.E,R.E
Friday,P.1,LIT,LUG,WRITING,ENG,LUG,LUG
Friday,P.2,ENG,WRITING,R.E,MTC,READING,READING
Friday,P.3,R.E,MTC,LUG,LIT,READING,READING
